,dialog,cleaned_dialog
0,font color sheldon font if a photon is directed through a plane with two slits in it and either is observed,sheldon photon directed plane two slits either observed
1,it will not go through both if unobserved it will,go unobserved
2,if it s observed after it left the plane before it hits its target,observed left plane hits target
3,it will not have gone through both slits agreed,gone slits agreed
4,font color leonand font what s your point,leonand point
5,there s no point i just think it s a good idea for a t shirt,point think good idea shirt
6,excuse me hang on,excuse hang
7,one across is aegean eight down is nabokov,one across aegean eight nabokov
8,twenty six across is mcm,twenty six across mcm
9,fourteen down is,fourteen
10,move your finger,move finger
11,phylum which makes across port au prince,phylum makes across port au prince
12,see papa doc s capital idea that s port au prince,see papa doc capital idea port au prince
13,haiti,haiti
14,can i help you yes,help yes
15,um is this the high iq sperm bank,um high iq sperm bank
16,if you have to ask maybe you shouldn t be here,ask maybe
17,i think this is the place,think place
18,fill these out thank you,fill thank
19,we ll be right back oh take your time,right back oh take time
20,i ll just finish my crossword puzzle,finish crossword puzzle
21,oh wait,oh wait
22,leonard i don t think i can do this,leonard think
23,what are you kidding you re a semipro,kidding semipro
24,no we are committing genetic fraud,committing genetic fraud
25,there s no guarantee our sperm s going to generate high iq offspring,guarantee sperm going generate high iq offspring
26,think about that,think
27,i have a sister with the same basic dna mix who hostesses at fuddruckers,sister basic dna mix hostesses fuddruckers
28,sheldon this was your idea,sheldon idea
29,a little extra money to get fractional t bandwidth in the apartment,little extra money get fractional bandwidth apartment
30,i know and i do yearn for faster downloads,know yearn faster downloads
31,there s some poor woman who s gonna pin her hopes on my sperm,poor woman gonna pin hopes sperm
32,what if she winds up with a toddler who doesn t know if he should use,winds toddler know use
33,a differential to solve for the area under a curve,differential solve area curve
34,i m sure she ll still love him i wouldn t,sure still love
35,well what do you wanna do,well wanna
36,i want to leave okay,want leave okay
37,what s the protocol for leaving i don t know,protocol leaving know
38,i ve never reneged on a proffer of sperm before,never reneged proffer sperm
39,let s try just walking out,let try walking
40,okay,okay
41,bye bye bye,bye bye bye
42,nice meeting you,nice meeting
43,are you still mad about the sperm bank no,still mad sperm bank
44,you wanna hear an interesting thing about stairs,wanna hear interesting thing stairs
45,not really,really
46,if the height of a step is off by as little as two millimeters,height step little two millimeters
47,most people will trip i don t care,people trip care
48,two millime that doesn t seem right,two millime seem right
49,it s true i did a series of experiments when i was,true series experiments
50,my father broke his clavicle,father broke clavicle
51,is that why they sent you to boarding school,sent boarding school
52,no that was the result of my work with lasers,result work lasers
53,font color e ce lily allen s smile playing over speakers font,e ce lily allen smile playing speakers
54,i go ahead and smile,go ahead smile
55,new neighbor,new neighbor
56,font color sheldon font evidently,sheldon evidently
57,significant improvement over the old neighbor,significant improvement old neighbor
58,two hundred pound transvestite with a skin condition yes she is,two hundred pound transvestite skin condition yes
59,oh hi,oh hi
60,hi hi,hi hi
61,hi,hi
62,we don t mean to interrupt we live across the hall,mean interrupt live across hall
63,oh that s nice,oh nice
64,no we don t live together i mean,live together mean
65,we live together but in separate heterosexual bedrooms,live together separate heterosexual bedrooms
66,okay well guess i m your new neighbor,okay well guess new neighbor
67,penny leonard sheldon,penny leonard sheldon
68,hi hi,hi hi
69,hi,hi
70,well,well
71,oh welcome to the building,oh welcome building
72,oh thank you maybe we can have coffee sometime,oh thank maybe coffee sometime
73,oh great great,oh great great
74,great great,great great
75,well bye,well bye
76,bye bye,bye bye
77,should we have invited her for lunch,invited lunch
78,no we re gonna start season two of battlestar galactica,gonna start season two battlestar galactica
79,we already watched the season two dvds,already watched season two dvds
80,not with commentary,commentary
81,i think we should be good neighbors,think good neighbors
82,invite her over make her feel welcome,invite make feel welcome
83,we never invited louie louise over,never invited louie louise
84,well and that was wrong of us,well wrong us
85,we need to widen our circle,need widen circle
86,i have a very wide circle,wide circle
87,i have friends on myspace,friends myspace
88,yes and you ve never met one of them,yes never met one
89,that s the beauty of it,beauty
90,i m gonna invite her over,gonna invite
91,we ll have a nice meal and chat,nice meal chat
92,chat we don t chat at least not off line,chat chat least line
93,well it s not difficult,well difficult
94,you just listen to what she says,listen says
95,and then you say something appropriate in response,say something appropriate response
96,to what end,end
97,hi again hi,hi hi
98,hi hi,hi hi
99,anyway,anyway
100,we brought home indian food,brought home indian food
101,and i know that moving can be stressful,know moving stressful
102,and i find that when i m undergoing stress,find undergoing stress
103,that good food and company can have a comforting effect,good food company comforting effect
104,also curry s a natural laxative and i don t have to tell you that you know,also curry natural laxative tell know
105,a clean colon is just one less thing to worry about,clean colon one less thing worry
106,i m no expert but in the context of a lunch invitation,expert context lunch invitation
107,you might wanna skip the reference to bowel movements,might wanna skip reference bowel movements
108,oh you re inviting me over to eat,oh inviting eat
109,yes,yes
110,oh that s so nice i d love to,oh nice love
111,great,great
112,so what do you guys do for fun around here,guys fun around
113,well today we tried masturbating for money,well today tried masturbating money
114,okay well make yourself at home okay,okay well make home okay
115,thank you you re very welcome,thank welcome
116,font color e ce mouths font you re very welcome,e ce mouths welcome
117,this looks like some serious stuff leonard did you do this,looks like serious stuff leonard
118,actually that s my work,actually work
119,wow,wow
120,yeah well it s just some quantum mechanics,yeah well quantum mechanics
121,with a little string theory doodling around the edges that part s just a joke,little string theory doodling around edges part joke
122,it s a spoof of the born oppenheimer approximation,spoof born oppenheimer approximation
123,so you re like one of those beautiful mind genius guys,like one beautiful mind genius guys
124,yeah,yeah
125,this is really impressive,really impressive
126,i have a board if you like boards this is my board,board like boards board
127,holy smokes,holy smokes
128,if by holy smokes you mean a derivative restatement of the stuff,holy smokes mean derivative restatement stuff
